search_time_min,skill_diff_mr
3.2069018,577.8429
4.729472,753.4735
1.6946721,291.6695
9.576578,1416.8191
1.7637352,263.2725
7.7886434,1261.2867
6.919338,1150.4407
6.793541,1152.8495
2.6819305,420.70514
9.56752,1492.1427
6.2938147,1081.575
5.86104,919.73834
1.0640397,185.7145
7.243995,1258.1433
4.537402,733.47455
3.0739098,594.01843
9.329996,1520.0347
6.3090067,954.8934
2.621937,510.45398
2.8458402,481.55786
5.0231605,670.0142
7.902216,1233.735
4.0362144,558.383
2.5397694,526.7338
3.6233964,530.9677
1.7013946,262.82986
6.944004,1168.6018
8.926691,1411.3588
0.77815837,120.978226
6.353191,1158.9049
7.703811,1171.5566
6.1113143,936.6747
3.558408,699.4975
7.729225,1276.4626
7.7461877,1190.3405
7.0261545,1113.7682
4.4153233,782.3585
3.992194,665.7592
5.758159,1011.89484
4.410893,665.85156
3.834495,611.51825
8.286233,1327.4954
9.332148,1425.0875
4.7797627,759.2379
4.18649,801.3275
5.3193135,726.7184
4.966386,943.1007
6.3919535,995.18
6.5811095,926.28143
0.93578035,90.21094
3.4970708,816.56445
9.250115,1545.218
7.100386,1183.5065
5.0137467,680.0143
2.3861976,508.2341
2.343926,346.84167
0.9951074,29.534332
3.7016785,595.9589
6.854095,1187.7572
8.278703,1253.3303
7.4430623,1087.2303
1.0512658,110.43093
2.3935282,410.2512
4.500371,641.16394
9.844911,1669.3212
5.9371233,912.6021
4.019889,683.3632
7.2151475,1212.2164
3.4408126,668.1367
2.1755357,477.96252
8.716965,1351.5419
3.0901666,329.92813
4.297783,585.6226
0.5246798,192.32672
8.429035,1336.698
8.848764,1392.2305
6.9811287,1125.5464
1.9379475,350.67523
0.56203544,173.81764
1.3921499,265.0938
8.792076,1386.6986
7.5305023,1207.0054
9.247147,1320.3469
7.738382,1091.2649
6.452188,1000.1174
5.2034845,840.2007
1.6375964,339.9218
1.1803322,73.423904
0.807094,163.29892
7.1944695,1152.2225
2.917902,557.2093
4.29405,629.33105
2.51635,313.06366
4.384438,695.8173
1.9067843,272.1957
2.1462755,522.20844
6.8256264,1088.3672
3.8383172,767.22675
8.18238,1198.493
3.7261584,509.9577
1.7655556,130.68333
4.4119153,760.35925
2.9474497,494.88623
3.7967775,578.5263
0.72802085,203.79614
7.907582,1330.7009
1.9430285,367.5364
7.637434,1164.4594
7.405475,1389.1718
8.643556,1373.0063
1.6065028,369.13733
8.666184,1322.373
3.0044298,485.55466
7.0125785,1107.4591
9.710794,1378.3445
4.5800986,702.629
5.213266,878.0826
4.156405,728.09436
1.2838235,239.71599
7.5295386,1108.3824
0.5345901,83.059006
8.198799,1231.2496
8.8040695,1349.8314
9.7421055,1453.7943
4.1295724,638.5694
1.3472009,256.00824
6.3179436,1097.5205
7.8740296,1238.5376
0.52228343,65.59344
4.171828,653.1733
2.4025865,471.9294
4.834547,713.8307
2.9119859,410.83896
3.308354,592.9046
3.7420704,613.95215
0.73605585,59.62671
9.14741,1363.7268
9.232073,1444.9567
4.504872,529.56506
4.70906,789.6371
3.3114305,698.9175
0.9604516,85.87071
0.6275641,133.71164
7.0153775,1242.717
2.6420307,451.70547
2.1963344,438.66434
4.87939,895.2044
3.6681972,654.90137
3.7132764,595.93134
5.402623,939.3047
4.242466,655.2295
3.614516,641.28204
2.975672,474.0603
1.3843199,209.23338
9.232909,1420.5968
3.349111,568.3314
6.5086527,926.6023
3.601912,622.5681
5.635991,931.1004
9.678427,1460.0165
7.4384327,1232.1812
1.1336515,164.69153
7.1352882,1082.5339
9.7589035,1410.6808
6.4996457,1111.0493
8.434517,1132.1484
9.932966,1501.2723
4.5221624,773.1242
6.2358837,900.5639
1.9485832,342.55893
4.271134,608.74896
8.767773,1383.0897
7.6850677,1142.3219
2.2442522,456.00424
1.4410462,281.50974
2.0040226,443.40427
0.562331,133.64444
1.5847148,155.58826
4.0753374,833.11865
8.455667,1265.5168
6.045066,965.842
1.6371241,324.024
1.4394364,362.36713
7.6130075,1301.4736
1.7167538,251.91641
4.6651444,721.8614
7.5286036,1142.657
3.0516427,409.16983
4.7320604,711.9629
4.836539,764.68646
4.1262293,680.83606
2.8415973,457.21817
1.0156678,194.2388
1.4103043,300.59637
2.706557,536.6427
9.837729,1478.0591
2.9556801,524.7627
2.0602422,244.52829
6.4013724,1007.022
6.5591493,993.845
7.8525715,1251.3287
8.860572,1363.0818
7.895152,1313.8691
0.54037035,188.67046
5.671271,889.96014
8.127327,1255.9423
4.810979,878.75934
2.450924,578.0162
9.778364,1390.2919
3.4733677,558.45044
2.5456135,522.9096
0.96761346,175.1003
5.4621744,1002.96265
7.3548822,1304.333
6.3014736,934.91595
6.189311,841.256
1.6476597,120.59067
0.8140356,201.3686
5.3336444,818.1105
9.581212,1526.921
7.9903765,1059.023
2.4843872,400.52484
4.6334095,717.9247
1.748378,241.77444
2.9584887,521.64154
6.110217,872.4871
7.836558,1219.2178
9.184754,1350.067
0.8889961,301.13898
8.425922,1203.6863
1.8998625,238.62439
7.0287194,1065.7142
9.269665,1375.1362
5.3167014,720.7524
9.571592,1282.1655
1.2027555,340.1659
3.4356937,522.31836
8.020452,1239.0167
4.215128,652.8031
4.2776737,624.97485
3.2702396,513.71173
8.524204,1402.2305
7.5798903,1156.6831
6.7721376,941.0385
2.5806725,373.02454
1.3941895,287.83176
5.763763,1017.46375
6.6573243,1114.2898
3.0568686,580.5451
3.9209611,446.87976
8.457996,1344.4792
5.6283836,1044.2887
5.464312,957.9907
4.0810223,752.4097
0.9484489,178.56247
0.78377724,185.99484
2.9794285,467.65164
2.8354733,516.1158
6.7298794,1193.132
3.867224,757.452
3.391695,525.4589
9.778791,1456.7433
6.9045334,966.7897
8.636286,1342.7758
2.9504645,588.5554
3.3097825,628.87335
6.995817,1029.9247
2.0851932,317.16614
2.1449058,397.60162
5.0205765,789.3234
3.5126367,467.52295
1.6891246,355.34128
8.067505,1233.146
9.069774,1403.9742
6.0205607,1053.7799
4.422962,782.9744
0.8502033,100.65555
3.519866,609.1519
6.459282,1049.1375
7.489772,1162.4878
4.6495166,840.2636
3.3720741,589.68866
7.896824,1203.5269
1.4671013,251.69415
8.252086,1255.2454
3.4072146,617.6434
5.3227005,751.3621
4.3113246,768.03436
5.825885,979.89636
3.8145576,650.76776
8.703853,1402.7206
5.1265135,892.4791
8.957848,1446.9797
9.817033,1540.5166
2.935843,412.4153
1.7848318,396.25858
9.060934,1455.8357
8.972166,1417.9156
1.6231503,246.3067
4.882809,827.956
0.5659001,71.5966
1.3616543,372.78564
6.167427,838.89484
6.5136642,1134.4624
6.25691,974.5641
3.9572177,670.7867
9.632244,1611.2952
5.9291453,911.6837
2.4470973,395.99408
4.9810843,917.2768
6.39069,1005.9234
6.913415,1177.7808
1.891366,345.19745
7.0302505,1054.0757
2.823312,410.39548
1.3030332,349.9476
2.6555147,374.1211
9.830944,1488.5137
9.310575,1475.576
9.5035515,1578.7942
8.038303,1379.4912
8.838386,1319.0443
4.614214,917.0182
2.6364176,393.51736
7.6233687,1229.6766
2.788632,567.9721
2.0443873,287.47937
3.7331634,542.1707
6.2468314,985.1429
7.695284,1173.2864
3.4050572,503.7663
2.45431,288.77582
5.890742,904.8919
2.4501925,384.4322
2.1574583,331.3356
7.7259464,1168.2377
4.452073,809.6336
9.590479,1507.7764
9.870717,1467.3544
6.670751,985.55664
6.884749,1094.0309
6.3438478,1126.6198
5.324389,896.5238
4.904521,742.41956
5.3152847,910.0257
7.0237675,1159.4963
9.666411,1497.06
4.0189943,622.4684
3.2421,468.03864
